"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"AJJ",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"AMU",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"AY9",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,1,-1,1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,1,-1
"B7D",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"BFX",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"C23",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"CHC",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"CKE",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
"D34",1,1,1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1
