"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A64",0,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1
"A82",0,-1,1,-1,1,1,-1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1
"ACE",0,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1
"ADZ",0,-1,1,-1,1,1,-1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1
"AQV",0,-1,1,-1,1,1,-1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1
"AV5",0,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1
"B93",0,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1
"BGX",0,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1
"BMS",0,-1,1,-1,1,1,-1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1
"BPJ",0,1,-1,1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1,1,1,-1,0,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,0,1,1,1,-1,1,-1,1,1,-1,1,1,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1
"BTK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBB",0,-1,1,-1,1,1,-1,-1,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1
